Epic,Story ID,Issue Type,Summary,Description,Acceptance Criteria,Priority,Status,Story Points,Labels,Component,Notes
GROUPS,HUDDL-043,Story,Pin/Unpin Group Chat or Group,"Users can pin/unpin groups to the top of their groups list.","Long-press or action on group shows pin option; pinned groups appear at top of My Groups list; persisted in huddl_pinned_ids.",Medium,Done,3,groups;chat;pin,Groups,lib/screens/groups/group_chat_screen.dart pin state; huddl_pinned_ids storage
GROUPS,HUDDL-044,Story,Mute/Unmute Group Chat,"Users can mute notifications for a group chat.","Mute option in group actions; muted groups show mute icon; push notifications suppressed for muted groups; persisted in huddl_muted_ids.",Medium,Done,3,groups;chat;notifications,Groups,lib/screens/groups/group_chat_screen.dart mute state; huddl_muted_ids storage
GROUPS,HUDDL-045,Story,Block User in Group Chat,"Users can block other users from interacting with them.","Block option on message long-press; BlockService persists block; blocked user's messages hidden; blocked_users_v1 storage.",High,Done,5,groups;chat;safety;moderation,Groups,lib/services/block_service.dart – BlockService; lib/screens/groups/group_chat_screen.dart block integration
GROUPS,HUDDL-046,Story,Saved Messages for Group,"Users can save individual messages within a group chat.","Bookmark icon on messages; SavedMessageService stores saved messages; Saved Messages screen shows all saved items.",Medium,Done,5,groups;chat;saved,Groups,lib/screens/groups/saved_messages_for_group_screen.dart; lib/services/saved_message_service.dart; saved_messages_v1 storage
GROUPS,HUDDL-047,Story,Group Details Screen,"View group info, members, description, and admin actions.","Group name/description/image shown; member count; member list preview; join/leave action; admin controls if applicable.",High,Done,5,groups,Groups,lib/screens/groups/group_details_screen.dart – GroupDetailsScreen
GROUPS,HUDDL-048,Story,Group Members Screen,"Full list of group members with profile details.","All group members listed; avatar + name shown; member count badge; real data loaded from Firestore (no hardcoded names).",High,Done,3,groups,Groups,lib/screens/groups/group_members_screen.dart – GroupMembersScreen (dummy data removed)
GROUPS,HUDDL-049,Story,Create Group Screen,"Users can create a new community group.","Form with name, description, category, image upload; group created in Firestore via FirestoreService.createGroup(); creator auto-joined.",High,Done,5,groups,Groups,lib/screens/groups/create_group_screen.dart – CreateGroupScreen
GROUPS,HUDDL-050,Story,Group Invitations System,"Users can invite others to join a group; recipients can accept or decline.","Invite option in group actions; GroupInvitation created via InvitationService; pending invitations shown in Groups screen; accept/decline actions.",Medium,Done,5,groups;invitations,Groups,lib/services/invitation_service.dart – InvitationService; GroupInvitation model; group_invitations_v1 storage
GROUPS,HUDDL-051,Story,Image Gallery Picker for Group Media,"In-app image gallery for viewing and selecting group media.","Gallery shows all media shared in group; images displayed in grid; tap to view full-screen; sharing capability.",Medium,Done,3,groups;media,Groups,lib/screens/groups/image_gallery_picker.dart – ImageGalleryPicker
GROUPS,HUDDL-052,Story,Direct Messages (DM) Chat Screen,"One-to-one private messaging between users.","DM conversation opens on contact tap; real-time message delivery via RealtimeDMService; read receipts; emoji reactions; typing indicator.",High,Done,8,groups;dm;chat,Groups,lib/screens/groups/dm_chat_screen.dart – DMChatScreen; lib/services/dm_service.dart; lib/services/realtime_dm_service.dart
GROUPS,HUDDL-053,Story,New DM Screen – Contact Selector,"Start a new direct message by selecting a user from contacts/members.","Contact list shown; search by name; NewDMScreen; DM conversation created via DMService; real phone numbers not hardcoded.",High,Done,3,groups;dm,Groups,lib/screens/groups/new_dm_screen.dart – NewDMScreen (dummy phone numbers removed in cecfc1a)
GROUPS,HUDDL-054,Story,Default Group Auto-Join on Registration,"New users are automatically added to appropriate default groups based on borough and parent type.","DefaultGroupService joins new users to community groups matching their postcode/borough and parent stage on welcome_complete.",High,Done,5,groups;onboarding,Groups,lib/services/default_group_service.dart – DefaultGroupService
GROUPS,HUDDL-055,Story,Group Prepopulation Service (Step 11),"AI-driven pre-population of community group content based on borough and parent stage.","GroupPrepopulationService generates contextual starter content for new groups; Step 11 in AI pipeline; daily refresh cycle Step 5.",Medium,Done,8,groups;ai;prepopulation,Groups,lib/services/group_prepopulation_service.dart – GROUP PREPOPULATION SERVICE
GROUPS,HUDDL-056,Story,Message Search Service – Real Messages Only,"Cross-group message search returning results from actual messages only (no demo data).","MessageSearchService.searchAll() searches real group and DM messages; no demo message injection; results include group/DM source.",Medium,Done,5,groups;chat;search,Groups,lib/services/message_search_service.dart (dummy data removed in cecfc1a)
GROUPS,HUDDL-057,Story,AI Chat Summariser Service (Step 3),"Summarises long group chat threads using Gemini AI.","AiChatSummariserService produces bullet-point summary of recent messages; summary shown in chat header or on request; GeminiSystemPromptBuilder used.",Medium,Done,5,groups;chat;ai,Groups,lib/services/ai_chat_summariser_service.dart – Step 3
GROUPS,HUDDL-058,Story,Messages AI Service,"AI-powered message suggestions and insights within chat.","MessagesAiService provides contextual reply suggestions; integrated with Gemini; respects borough context.",Medium,Done,3,groups;chat;ai,Groups,lib/services/messages_ai_service.dart – MessagesAiService
GROUPS,HUDDL-059,Story,AI Discover Sheet for Groups,"AI-assisted group discovery based on user interests and location.","DiscoverAiService powers group recommendations on Discover tab; suggestions personalised to borough and parenting stage.",Medium,Done,3,groups;ai;discover,Groups,lib/services/discover_ai_service.dart; lib/widgets/discover_ai_sheet.dart
GROUPS,HUDDL-060,Story,Brand Illustration Empty States Across Groups Screens,"Replace default Material icons with Huddl brand illustrations for all empty-state views.","HuddlEmptyState widget used in Groups (Messages, Discover, Saved tabs); correct illustration asset per context; consistent brand feel.",Medium,Done,3,groups;ui;branding,Groups,lib/widgets/common/huddl_empty_state.dart – HuddlEmptyState; HuddlIllustration (commit f7b537a)
EVENTS,HUDDL-061,Epic,Events & Meetups (Discover Screen),"Event discovery, RSVP, and local meetup creation.","Users can browse events/meetups; RSVP; create meetups; see upcoming schedule.",High,Done,34,events;meetups;discover,Events,Delivered across 5 screen files and 4 service files
EVENTS,HUDDL-062,Story,Discover Screen with 3 Tabs (Groups/Meetups/Events),"Main discover hub combining Groups, Meetups, and Events in a tabbed interface.","3 tabs render correctly; tab switching works; FAB context-sensitive (create meetup on Meetups tab).",High,Done,5,events;discover,Events,lib/screens/events/events_screen.dart – EventsScreen (DISCOVER SCREEN)
EVENTS,HUDDL-063,Story,Meetup Listing and Discovery,"Browse user-created local meetups in borough.","Meetups loaded from MeetupService; filtered by borough via BoroughScopeGuard; cards show title/location/date/attendee count.",High,Done,5,events;meetups;hyperlocal,Events,lib/services/meetup_service.dart – MeetupService; BoroughScopeGuard applied
EVENTS,HUDDL-064,Story,Create Meetup Screen,"Users can create a new local meetup event.","Form with title, description, date/time, location (map), max attendees, image; meetup saved via MeetupService; AI pre-fill available.",High,Done,8,events;meetups;create,Events,lib/screens/events/create_meetup_screen.dart – CreateMeetupScreen
EVENTS,HUDDL-065,Story,Meetup Detail Screen,"View full meetup details, attendees, and RSVP.","Full meetup info shown; attendee list; RSVP (Going/Not Going); share capability; organiser shown.",High,Done,5,events;meetups,Events,lib/screens/events/meetup_detail_screen.dart – MeetupDetailScreen
EVENTS,HUDDL-066,Story,I'm Going Tab – Upcoming RSVPs,"Dedicated tab showing all events and meetups the user has RSVP'd to.","Going meetups and events shown sorted by date ascending; reminders for each; empty state when none.",High,Done,3,events;rsvp,Events,lib/screens/events/events_screen.dart – ImGoingTab; _EventsScreenState._goingMeetups/_goingEvents
EVENTS,HUDDL-067,Story,National Events Listing (UK-wide),"Browse UK-wide events (not borough-restricted) – the only cross-borough feature.","Events from EventService displayed; no borough filter applied; events searchable/filterable by date/type.",High,Done,5,events;uk-wide,Events,lib/services/event_service.dart – EventService; HuddlFeature.events excluded from borough scope
EVENTS,HUDDL-068,Story,Create Event Screen,"Organisers can create formal events (beyond meetups).","Form with all event fields; image upload; event saved via EventService; event appears in Events tab.",Medium,Done,5,events;create,Events,lib/screens/events/create_event_screen.dart – CreateEventScreen
EVENTS,HUDDL-069,Story,Event Detail Screen,"Full event details view with RSVP and sharing.","Event info, speakers/organiser, RSVP button, share, add to calendar (Android Intent.ACTION_INSERT); fake attendees replaced with real RSVP count.",High,Done,5,events;detail,Events,lib/screens/events/event_detail_screen.dart – EventDetailScreen (dummy attendees removed)
EVENTS,HUDDL-070,Story,AI Event Discovery Service (Step 4),"AI recommends events based on user profile, interests, and borough.","AiEventDiscoveryService generates event suggestions; Step 4 in daily AI refresh; recommendations personalised per learning engine.",Medium,Done,5,events;ai,Events,lib/services/ai_event_discovery_service.dart – AiEventDiscoveryService
EVENTS,HUDDL-071,Story,AI Event Recommender Service (Step 4),"Scores and ranks events for the user using AI.","AiEventRecommenderService.scoreEvents() ranks by relevance; ScoredEvent model with MatchReason; results fed back to home feed.",Medium,Done,5,events;ai,Events,lib/services/ai_event_recommender_service.dart – ScoredEvent; MatchReason
EVENTS,HUDDL-072,Story,Meetup AI Service,"AI-assisted meetup suggestions and scheduling.","MeetupAiService provides meetup recommendations; integrates with Gemini; borough-aware.",Medium,Done,3,events;meetups;ai,Events,lib/services/meetup_ai_service.dart – MeetupAiService
EVENTS,HUDDL-073,Story,Meetup Prepopulation Service (Step 12),"AI pre-populates meetup suggestions for new boroughs.","MeetupPrepopulationService generates contextual meetups; Step 12 in AI pipeline; Step 6 in daily refresh.",Medium,Done,5,events;ai;prepopulation,Events,lib/services/meetup_prepopulation_service.dart – MEETUP PREPOPULATION SERVICE
EVENTS,HUDDL-074,Story,Brand Illustrations on Events Empty States,"Events empty-state views use HuddlIllustration brand assets instead of default icons.","Meetups empty: layout.png; I'm Going empty: onboarding_two_people_illustration.png; Events filter empty: same.",Medium,Done,2,events;ui;branding,Events,commit f7b537a – events_screen.dart HuddlEmptyState
MARKETPLACE,HUDDL-075,Epic,Marketplace – Buy/Sell/Rehome,"Hyperlocal baby and parent goods marketplace with AI-powered listing and pricing.","Users can list items; browse listings; save items; AI pricing/descriptions available.",High,Done,34,marketplace;rehome;ai,Marketplace,"Delivered across marketplace_screen | item_detail_screen | create_listing_screen + services"
MARKETPLACE,HUDDL-076,Story,Marketplace Screen – Buy/Sell/Saved Tabs,"Main marketplace hub with Browse, Sell, and Saved tabs.","3 tabs functional; Browse tab shows active listings; Sell tab shows user's listings; Saved tab shows bookmarked items; AI engine influences rankings.",High,Done,8,marketplace,Marketplace,lib/screens/marketplace/marketplace_screen.dart – MarketplaceScreen; _InvisibleAiEngine
MARKETPLACE,HUDDL-077,Story,Create Listing Screen (Rehome),"Sellers create a listing with title, description, price, category, images.","Multi-field form; image upload (up to 5 images); category selection; AgeStage selector; AI can pre-fill description/price via AiListingService.",High,Done,8,marketplace;create;ai,Marketplace,lib/screens/rehome/create_listing_screen.dart – CreateListingScreen; lib/services/rehome_service.dart
MARKETPLACE,HUDDL-078,Story,Item Detail Screen,"Full listing detail view with seller info, images, description, and contact.","All listing fields shown; image carousel; seller avatar/name; contact seller button; share listing; saved/unsaved toggle.",High,Done,5,marketplace,Marketplace,lib/screens/marketplace/item_detail_screen.dart – ItemDetailScreen
MARKETPLACE,HUDDL-079,Story,AI Listing Generator Sheet (Step 8),"AI generates marketplace listing title, description, and suggested price.","AiListingGeneratorSheet opens from create listing; Gemini generates content; user can accept/edit; safety recall check integrated.",High,Done,5,marketplace;ai,Marketplace,lib/screens/ai/ai_listing_generator_sheet.dart; lib/services/ai_listing_service.dart – Step 8
MARKETPLACE,HUDDL-080,Story,AI Invisible Engine – Personalised Ranking,"Marketplace items ranked by user behaviour (views, saves, dismissals).","_InvisibleAiEngine records views/saves/dismissals; rankItems() sorts by affinity score; category preference inferred.",Medium,Done,5,marketplace;ai;personalisation,Marketplace,lib/screens/marketplace/marketplace_screen.dart – _InvisibleAiEngine class
MARKETPLACE,HUDDL-081,Story,AI Listing Service – Safety Recall Checks (Step 8),"AI checks listed items against safety recall database before publishing.","AiListingService.checkSafetyRecalls() queries AiKnowledgeBaseService; warning shown if recall found; listing blocked or warned.",High,Done,3,marketplace;ai;safety,Marketplace,lib/services/ai_listing_service.dart – Step 8 safety check
MARKETPLACE,HUDDL-082,Story,Borough-Scoped Marketplace Listings,"Listings are only visible to users in the same borough.","BoroughScopeGuard applied to listing fetches; cross-borough listings not shown; seller location borough-aware.",High,Done,3,marketplace;hyperlocal;borough,Marketplace,lib/services/marketplace via BoroughScopeGuard
MARKETPLACE,HUDDL-083,Story,Marketplace Brand Illustrations for Empty States,"Empty-state views in marketplace use Huddl brand illustrations.","Buy empty: not_available_illustration.png; Sell empty: same; Saved empty: Group_3603.png.",Medium,Done,2,marketplace;ui;branding,Marketplace,commit f7b537a – marketplace_screen.dart HuddlEmptyState
MARKETPLACE,HUDDL-084,Story,Rehome Service (Listings Data Layer),"Data layer for all marketplace listing CRUD operations.","RehomeService handles create/read/update/delete of listings; Firebase Storage for images; Firestore for listing data.",High,Done,5,marketplace;data,Marketplace,lib/services/rehome_service.dart – RehomeService
AI,HUDDL-085,Epic,AI Parent Concierge – Invisible AI System (Steps 1-14),"Full AI pipeline powering personalised parenting support, content, and recommendations.","All 14 AI pipeline steps function; daily refresh cycle runs; Gemini integration stable; borough context applied.",High,Done,55,ai;gemini;personalisation,AI,14-step pipeline spanning 12 services
AI,HUDDL-086,Story,AI Knowledge Base Service (Step 1),"Curated parenting knowledge base including NHS milestones, vaccinations, safety recalls, seasonal tips, local venues, and community templates.","KnowledgeArticle, DevelopmentMilestone, VaccinationItem, SafetyRecall, SeasonalTip, LocalVenue models populated; borough-specific content served.",High,Done,13,ai;knowledge,AI,lib/services/ai_knowledge_base_service.dart – AiKnowledgeBaseService; Step 1
AI,HUDDL-087,Story,AI Learning Engine Service (Step 2),"Tracks user signals (views, likes, shares, purchases) to build a personalised interest profile.","UserSignal, TopicAffinity, TimePattern, ContentFormatPreference models; UserLearningProfile built; influences all AI ranking.",High,Done,8,ai;learning;personalisation,AI,lib/services/ai_learning_engine_service.dart – AiLearningEngineService; Step 2
AI,HUDDL-088,Story,Gemini System Prompt Builder (Step 3),"Assembles contextual system prompts for Gemini using knowledge base + learning engine.","GeminiSystemPromptBuilder.build() injects borough context, user profile, and knowledge snippets into Gemini system prompt.",High,Done,5,ai;gemini,AI,lib/services/gemini_system_prompt_builder.dart – Step 1 + Step 2 combined
AI,HUDDL-089,Story,AI Copilot Screen & Service (Step 3),"Conversational AI assistant for parenting questions, powered by Gemini.","AiCopilotScreen shows chat interface; AiCopilotService handles message round-trips; history maintained in session; quick actions shown.",High,Done,8,ai;copilot;gemini,AI,lib/screens/ai/ai_copilot_screen.dart; lib/services/ai_copilot_service.dart – Step 3
AI,HUDDL-090,Story,AI Matchmaker Service & Sheet (Step 9),"AI suggests parent-to-parent matches for friendship/playdates based on shared interests and children's ages.","AiMatchmakerService.suggestMeetups() returns SuggestedMeetup list; AiMatchmakerSheet shows matches; learning engine affinity used.",Medium,Done,5,ai;matchmaker;social,AI,lib/screens/ai/ai_matchmaker_sheet.dart; lib/services/ai_matchmaker_service.dart – Step 9
